Grado;T.Clasico;T.Karatsuba
1;0.001;0.001
2;0.005;0.006
3;0.008;0.008
4;0.009;0.009
5;0.012;0.011
6;0.013;0.014
7;0.016;0.016
8;0.019;0.018
9;0.023;0.022
10;0.026;0.024
11;0.030;0.029
12;0.034;0.033
13;0.040;0.036
14;0.042;0.040
15;0.050;0.048
16;0.056;0.050
17;0.061;0.055
18;0.069;0.064
19;0.080;0.071
20;0.084;0.079
21;0.090;0.081
22;0.098;0.089
23;0.104;0.094
24;0.119;0.107
25;0.122;0.112
26;0.136;0.122
27;0.147;0.131
28;0.159;0.143
29;0.165;0.145
30;0.180;0.159
31;0.184;0.166
32;0.199;0.182
33;0.216;0.192
34;0.226;0.202
35;0.230;0.208
36;0.243;0.218
37;0.267;0.241
38;0.296;0.262
39;0.303;0.267
40;0.323;0.284
41;0.336;0.299
42;0.352;0.313
43;0.375;0.332
44;0.403;0.357
45;0.429;0.377
46;0.466;0.412
47;0.440;0.394
48;0.474;0.418
49;0.499;0.443
50;0.520;0.460
