Grado;T.Clasico;T.Karatsuba
1;1.562;1.062
2;3.062;2.312
3;4.188;3.875
4;4.375;4.625
5;5.062;5.938
6;7.188;5.250
7;7.750;6.875
8;8.812;8.125
9;9.250;10.312
10;11.188;10.875
11;12.875;13.188
12;14.750;13.250
13;15.938;15.562
14;18.062;17.375
15;20.000;19.312
16;24.188;20.875
17;26.688;23.062
18;30.312;28.312
19;33.062;30.625
20;37.000;34.500
21;38.250;34.625
22;41.188;35.500
23;46.688;39.375
24;50.375;44.750
25;53.438;47.375
26;59.750;53.875
27;59.000;50.500
28;71.938;58.062
29;77.000;65.375
30;86.562;70.500
31;93.250;76.688
32;92.062;83.938
33;99.688;79.938
34;102.688;86.312
35;117.562;95.625
36;122.562;104.562
37;127.062;109.562
38;130.375;111.312
39;140.562;121.000
40;169.688;134.688
41;143.000;126.625
42;169.188;137.500
43;197.125;161.250
44;198.062;161.188
45;206.750;167.500
46;206.312;175.188
47;227.250;181.750
48;241.500;190.625
49;247.125;200.562
50;266.812;219.500
